business_id,name,postal_code,latitude,longitude,stars,review_count,is_open
Pns2l4eNsfO8kk83dixA6A,"Abby Rappoport, LAC, CMQ",93101,34.4266787,-119.7111968,5.0,7.0,0
mpf3x-BjTdTEA3yCZrAYPw,The UPS Store,63123,38.551126,-90.335695,3.0,15.0,1
tUFrWirKiKi_TAnsVWINQQ,Target,85711,32.223236,-110.880452,3.5,22.0,0
MTSW4McQd7CbVtyjqoe9mw,St Honore Pastries,19107,39.9555052,-75.1555641,4.0,80.0,1
mWMc6_wTdE0EUBKIGXDVfA,Perkiomen Valley Brewery,18054,40.3381827,-75.4716585,4.5,13.0,1
CF33F8-E6oudUQ46HnavjQ,Sonic Drive-In,37015,36.269593,-87.058943,2.0,6.0,1
n_0UpQx1hsNbnPUSlodU8w,Famous Footwear,63144,38.627695,-90.340465,2.5,13.0,1
qkRM_2X51Yqxk3btlwAQIg,Temple Beth-El,33707,27.76659,-82.732983,3.5,5.0,1
k0hlBqXX-Bt0vf1op7Jr1w,Tsevi's Pub And Grill,63123,38.5651648,-90.3210868,3.0,19.0,0
bBDDEgkFA1Otx9Lfe7BZUQ,Sonic Drive-In,37207,36.2081024,-86.7681696,1.5,10.0,1
UJsufbvfyfONHeWdvAHKjA,Marshalls,34639,28.1904587953,-82.4573802199,3.5,6.0,1
eEOYSgkmpB90uNA7lDOMRA,Vietnamese Food Truck,33602,27.9552692,-82.4563199,4.0,10.0,1
il_Ro8jwPlHresjw9EGmBg,Denny's,46227,39.6371332838,-86.127217412,2.5,28.0,1
jaxMSoInw8Poo3XeMJt8lQ,Adams Dental,33755,27.966235,-82.787412,5.0,10.0,1
0bPLkL0QhhPO5kt1_EXmNQ,Zio's Italian Market,33771,27.9161159,-82.7604608,4.5,100.0,0
MUTTqe8uqyMdBl186RmNeA,Tuna Bar,19106,39.953949,-75.1432262,4.0,245.0,1
rBmpy_Y1UbBx8ggHlyb7hA,Arizona Truck Outfitters,85705,32.2298719,-110.9723419,4.5,10.0,1
M0XSSHqrASOnhgbWDJIpQA,Herb Import Co,70118,29.9414679565,-90.129952757,4.0,5.0,1
8wGISYjYkE2tSqn3cDMu8A,Nifty Car Rental,70062,29.981183,-90.2540123,3.5,14.0,1
ROeacJQwBeh05Rqg7F6TCg,BAP,19147,39.943223,-75.162568,4.5,205.0,1
WKMJwqnfZKsAae75RMP6jA,Roast Coffeehouse and Wine Bar,T5J 1B9,53.5460453,-113.4991693,4.0,40.0,0
qhDdDeI3K4jy2KyzwFN53w,Barnes & Noble Booksellers,46240,39.91382,-86.105739,4.0,38.0,1
kfNv-JZpuN6TVNSO6hHdkw,Hibachi Express,46250,39.9043203184,-86.0530799,4.0,20.0,1
9OG5YkX1g2GReZM0AskizA,Romano's Macaroni Grill,89502,39.4761165,-119.7893392,2.5,339.0,1
4iRzR7OaS-QaSXuvYxEGKA,Super Dog,37115,36.2485696,-86.7199857,4.0,6.0,0
PSo_C1Sfa13JHjzVNW6ziQ,Indian Walk Veterinary Center,18940,40.2734926,-74.987496,5.0,15.0,1
noByYNtDLQAra9ccqxdfDw,H&M,93101,34.4202089255,-119.7004597389,3.0,24.0,1
tMkwHmWFUEXrC9ZduonpTg,The Green Pheasant,37201,36.1598858,-86.7731974,4.0,161.0,0
QdN72BWoyFypdGJhhI5r7g,Bar One,19147,39.9398245705,-75.1574465632,4.0,65.0,0
sqSqqLy0sN8n2IZrAbzidQ,Domino's Pizza,37188,36.4647467622,-86.6591868908,3.5,8.0,1
fvWn8oXXwbj2l79cochZyw,Altitude Trampoline Park - Boise,83704,43.6167635,-116.2853821,5.0,30.0,1
Mjboz24M9NlBeiOJKLEd_Q,DeSandro on Main,19127,40.0224662,-75.218314,3.0,41.0,0
8sshLb4UU7emeUDvtJWnpA,DanceLine,19301,40.0415845065,-75.4849526577,4.5,11.0,1
kV_Q1oqis8Qli8dUoGpTyQ,Ardmore Pizza,19003,40.0067071,-75.289671,3.5,109.0,1
w_AMNoI1iG9eay7ncmc67w,River 127,70130,29.951359,-90.0646715,3.0,12.0,1
aPNXGTDkf-4bjhyMBQxqpQ,Craft Hall,19123,39.9625821,-75.1356571,3.5,65.0,1
2xVsWBNFwZOxIOdd9Mwnww,Cheeseburger In Paradise,19341,40.029962,-75.630607,2.5,20.0,0
