business_id,neg_reviews,pos_reviews
---kPU91CF4Lq2-WlRu9Lw,4,20
--LC8cIrALInl2vyo701tg,0,8
--epgcb7xHGuJ-4PUeSLAw,22,16
--gJkxbsiSIwsQKbiwm_Ng,0,6
--hF_3v1JmU9nlu4zfXJ8Q,0,15
--qLiYw2ErSmvVwumb2kdw,0,5
-02xFuruu85XmDn2xiynJw,9,112
-0EdehHjIQc0DtYU8QcAig,14,22
-0YvX6VK5S0u_hbQFYq10g,1,9
-0dKgi_Hpcis921nOpM85Q,2,26
-0eUa8TsXFFy0FCxHYmrjg,7,21
-0i2KNr7WrCsDF5m0IViJg,33,15
-0iIxySkp97WNlwK66OGWg,79,154
-0qOecqGXEf_6TwaiX9E5A,7,35
-1Bvqy9wtFDyUB8GuDqQQw,2,7
-1XSzguS6XLN-V6MVZMg2A,44,490
-1dARtemb2Gy7XlftvtNXQ,1,7
-1owBLC2h6DF5n_j77oq3g,6,1
-1q3O9hvYmrELU39_Thbzw,4,9
-1zRvh3yjKAa2eYggRKbuw,54,13
-1ze-oWDnrGAzvAg56QXUA,0,12
-2XADB6qHuwPCZm3_01BMg,17,12
-2gDGXUYPigcPbMIDg2eTg,0,7
-2gmbMDzKgYZ_8DOnJtPyw,16,9
-2j8XqQL68DPqYiafH9JXg,0,7
-2jMDMFbmR3JVD-vJUk3Aw,0,17
-2wh7NTLkWEgsrLJvilnFQ,14,82
-32hOCwsuKd04WO-HQyYFg,28,34
-3GcUoawZjkX1Zq7zJhe_A,5,4
-3Xl8nSBSjaPpftsSNyrgg,1,6
-3Z9SadSY-w_ckVGQ0dedQ,4,4
-3e3CP3FFc-rvJj_-_airw,23,57
-3yc7i3bvTHv1Zig2rXrSg,5,5
-45_EStChJEWNJW_F83Yxw,7,13
-46lOITML86TZkk2fErq6A,49,18
-4J6iW94f7qhnwmp4Z9bdg,14,9
-4N4YEobjG89VQsEgqZshg,2,15
-4bCujgnMeYCu5RSmy0xPQ,1,4
-4qgeqxb2hKe3dUUH__j8Q,9,43
-54X2p-t4_toIoem4k_SvA,10,0
-5Xfp4_pojZjGgOevX4iiw,1,19
-5qdNqCsREZCQpy9HU3sRw,0,10
-6E_cla4lotruNasIsCkxQ,4,3
-6L7ckMsebhvS_nk4wjhIA,8,25
-6L_z3ftD1iepJb0FfJghw,3,105
-6OjnX3ZdDOhHxWR60wysg,34,44
-6RKk3sSh-PWB8VBfy4KnQ,1,17
-6bmADDPKp0HrT2wqAMjQw,4,17
-6p-MRp5mP35EN5rp-84nA,1,6
-6vtoe3VFedMGouTFnlnDQ,15,3
-7-VQmEgowG9o8u9qMv_aw,0,5
-7ZTpN4KmfWotnu4rVV-FA,5,2
-7c65KLGp3n_U0GifIIWgA,2,3
-7qO7OvcQS7t6v6uHxDAxw,1,5
-7sP9Iyk6XfXRawkcmwEng,11,38
-7wXZWnKe26iwJY_5z_AAw,41,80
-81BXpO5Fuk-RqCabS7LMw,61,228
-8562lttAp_PuLWpQXDdhA,1,14
-8B29WNRCyg4jViK4ChKlQ,2,7
-8VpP01AKfnt4wpT-8vgnQ,14,102
-8z1z-kYVvFFT4HUVSV-lA,12,8
-951Q5if-JmCQbO40meVPw,5,5
-981bIUN3Qt27CVwN46h1Q,13,4
-99aS7t1izJrDtgSUyvoxg,4,11
-9QWlFM3KH0DBS1wiHZJXA,8,5
-9WXuHHFaFx5yGjkO67pDQ,1,14
-9rRsa_9GTkSYkPdKa7T8A,88,42
-9sGD5Fi-DVwR6BsBAtu0w,4,2
-A4SLpg5ow8n0y4ITJ7Gkw,3,3
-AMeu_LMyFPTsa94IwvS4w,32,46
-AcmqwbO-h5kr7ki4r5dqQ,10,1
-AjSXsdPtBhWl0kY1-QsoA,2,29
-AtPJesqo67FIS9Lvi3MNg,4,2
-AyTHdUwHI-u5vAuXhUpPw,3,14
-B6XL-ZWsVHlAQyYcd3eEg,166,160
-B7E8MFb47FoGcp25lXgxw,5,31
-BB9Xn-ak_23FxVEWI5Y8w,3,6
-BHSeNtP6CoErp30iGDxPg,36,10
-BLVl824WRLFIm_uiHmkbA,42,51
-BjXcRcvDqOQ23eUKx6hjg,30,188
-BwA9H1r-t3vn0yVfCfYGQ,1,4
-CJ7NgAqUJir64qeZMsgCg,8,1
-Cg7YHZruPxmj--xoefNvQ,0,12
-CoZunWzch6HzMaM34dOEQ,2,3
-CuCli6mf9k4ReagRzbZbg,6,4
-CvjeIt8CMUMBRnikhHCDg,26,82
-Cz1zBt_t8CwNKppk3rlTQ,3,6
-D5XxdkNwCE65dX_aybvog,1,6
-D6e48MuV3X_8WovFoOvUQ,6,3
-DJmkn9HGCpCTF9G1ozklw,1,7
-DLx98kCD0kf8wuBeS_RUg,9,3
-DXnU-mJlRAz6K-Kmj2sfA,18,77
-D_InZvA0lq497RtoNxofw,0,9
-DcAq3aOYlMTM0vzOIAMMw,28,45
-Drxllb26AyLmrklrto52w,1,5
-Dz87D0tz5-E0boR6tQk9Q,5,7
-E-REn_Rgokr3BkDIoZMgg,16,28
-E3vzsWpDT_MuQY591pPSw,0,5
-EKgs6Dl5Ft2Y0bEhYPZgg,2,4
-EMRz2F2DPqLs2lY30k0iw,11,3
-EO7Peyf4GehtWjBmYrkDw,6,3
-EOYW4CqbTpsXBiC2Ww8gg,3,12
-ET245ZYhupdwBSwiivFLg,18,22
-EZ84vTWjXnQCeE1-qVuSA,8,7
-EoaB87gPD41BM67j1fGCw,4,1
-F-30mTCP0dUr_mm57NxUQ,1,11
-FJOhbe8f9Bzpvnq3qbyFw,4,1
-FRHYI6doGCjIsXiKHkUqw,62,44
-FRoQzVedsAKxJdQgMGqmQ,9,15
-FbTCbFUAE61n9bwdfsFIw,9,21
-FeeEqYmAJ00G66ngdxFZg,1,18
-FhCAeaH2redSYlr130TpA,4,7
-Fj5RVRiaUiMzaPGrfXNuQ,3,8
-FkOGy1AP9LXuoeqZpp06A,5,47
-Fu_WCaPIFgCxeXOkZDCUQ,0,6
-G-p49zYwol8Sw9GP931VQ,9,2
-GI-kwDsTnwdO0E8z9XLOA,1,4
-GJN01qCjGgnNBTbZexNpQ,3,5
-Gj2Qo-iQxRgppM-no0bdQ,2,4
-H5SGViN4TRLMvbmrLmE2w,4,1
-HCm7yAyNQKetrT0hq-LlA,2,12
-HHBEjgo257YRvix8an2yg,0,22
-HLxwse1EfslUhvKsGDk_w,8,11
-HQhp8VBzgSp-epyqrr0Sw,1,5
-Hb0Fipcw777R8cSARnA6Q,2,8
-I8rPwW2mH-pxMeyk22f7g,7,7
-IZpkWsJKfq35eJLzaUcvA,19,41
-JAwNIEJoDXmdE_8sS_BJQ,62,58
-JGkEsPcn-hoFspX1reyoA,2,5
-JStjL-8mRZq4ov4uI1FaQ,26,82
-JWVHrc63I-3KXOGxWYWlA,6,1
-J_HhUwt5pPiHRNf_m7rHw,3,5
-JcSG0yNk06hpNWagOKj9g,12,25
-JgPJ7mh3HAMwSEi6sHrRg,9,31
-K0zTgGyxo-AeSkcV0IVaA,30,145
-K_FDDqmOt6hJLTOPgpnlA,26,9
-KgtXG8p6sPSuv2GmOJv8Q,4,6
-Kisb17pdztyIHZvGPSvbg,4,13
-KncfNxXHo2DA46fR39K5w,4,6
-KoHVH7Iorlv1ql0PZgmmg,11,6
-L4ZVlzmrVKCs6F7ucgikA,4,2
-LGBQWPNa247AwbcpjzNKA,3,2
-LI-pZMk96s4VqGwIU1dNg,38,4
-LNcgHYLXcO7greCh81kpg,10,14
-LV84NpVQaSpnckb7DDO0Q,20,19
-La6DOoGC7k_2FcIde-LTw,18,11
-Laxqy_xe75r1onAt9XNaQ,6,6
-LgWuUKKPhwp0wr6qJ0DAA,4,33
-LhHRDjO6u1klmV6Pb0PyQ,2,3
-LmhsdQproqCf5EQoD06rQ,1,9
-M21d-vRVRaTyVywy8x-Ag,10,12
-M9uwwh6jHbzjHOm2N5fHg,12,29
-MRIqsJEm2v5DJtcMtekCQ,5,5
-MmwY7-8q6AtTgVm5v77UQ,3,9
-MpXo24qYu4DazQXDrs2oA,8,27
-MqloFCBP89OWko_A6i1_A,5,10
-MwKwvY0gG3GyR5ymxsLNQ,2,17
-N-fTC5nrer-EyfO8knytA,3,2
-NF_wBObzf5IdLzWyea7XA,8,13
-NZAlu3TfzLLR_VUe6U3kQ,33,16
-NehG9emqaFZTgCaZ77kkg,7,40
-NvYIxTY2R3vzzSmvRKVLQ,4,66
-O6zuYtx-bMz41rG0jn-5Q,1,18
-ODKTf6sVBn3i-M08NDHlQ,21,17
-OWsJkkKmcMA8ecGLSUg7w,92,267
-O_fh3A0IdvR_sg--mmoPQ,8,2
-OdMe4WXmGGIPEoSTM8C9Q,17,38
-OffMC_1lTuedMvULJJ7Bg,16,23
-Oo0GyUx-1il_j6AYmFYRg,5,17
-Or-MxCq4VYBAn2NiSbCHQ,7,47
-OwQecRCT2YZu_T6tMUZMA,0,14
-OywDzU38aCQOYWzp-uKfQ,3,10
-P-B3kK1o7q8GeTZp1IWIw,5,1
-P-pHBN0NA3cE3jjvA2jbg,21,61
-P008_MriBRX7JjdMLAK7w,3,9
-P7CxFXqAyZ7_ep4r4W-Zg,68,53
-PAlQKDKFnvBhE8rBX4Dqw,7,15
-PGe8XbKh-vXkr57GKNEAw,15,11
-PNRUU1s0BNFu2NRaaIimg,0,6
-PptRLobhcoUHSYCkzSwRg,0,7
-Q9gvLmYlv68lT9Z2kH09g,7,4
-QmdKVHCKxbyZJ5JgKFQNw,1,28
-Qt0Xdu3O9PxQDw4toiViA,5,10
-R2VetdBl4qR9kZQ_Xx5Og,2,28
-R3PWE4ycIc-xElcPqqetw,15,17
-R3kduqdMdxs1EBL-fumIA,8,17
-RJfiKv_UsYol83dkfqpHQ,1,5
-RQTEz9AaGU4uJB_dCEkmQ,10,5
-RV8fLn8mcdLi15c5eQjeg,4,2
-RYDQAw8adM5I5Xr2GuPbQ,1,7
-RcCv4oCeDb49qnBGZgjgg,2,43
-SLwUeAPPU7L98uDOceWxg,8,3
-SQ7N9P7LjZ0Th0GmXNDNw,8,8
-SQv9Kit89XgEik-Rd_5yg,18,10
-SS3ep20HKhuOhzDkkt9aA,55,149
-SZ-p4o6gJPOJ--HA3NKcw,51,78
-SgaUYY_hxJqPIo_VXsMPA,4,3
-Sp511jqTCpn3d6NwVz69g,16,62
-SycURFqf-UfHrMMGCLR7A,75,31
-T5SfUI_QqgBrkq4D8Jn7w,143,239
-T6z1weFkH1XAmDWU3tgdw,5,6
-T717fX7IAWVdCI1nnMHFw,1,5
-TArOdux8Z4oH-jIM1FJuQ,25,38
-TItgaP5oOYLDb8q5ILxeQ,12,35
-TjT3y-Glfnbt6LbKETAYg,151,410
-Tnsc_b8dsWuAq1wQugKZA,18,55
-TvJ8KJdXus3_o6uvG2GHQ,9,1
-Ty_8q-uXi2UNO4T0ryKlw,7,11
-U6HFRzeZZ1Sc9fAl3fQfw,3,2
-U6zkKlNw3HiNbuzR-x3jA,11,58
-U9TReQXc8qt5Xqv401xZA,0,7
-UADx0eR5Huq6s1CPH24Vg,1,15
-UPrwz4Ac25g9-drMmrTuQ,14,20
-Uez8TfwFgsht-h8E5cH6A,7,8
-UfK4v89G1LGnpCD1nbGPQ,1,5
-UnqbhdN3Kdj0Z1q8dPMXg,7,3
-Uxhjv9aZ-qE-2VDGXo4Iw,3,9
-Uzw3Hvy1KBNxak9vWsYyQ,132,149
-V4aH1YR67gdcakjCjU0bg,6,8
-VBhLd8DAz2VyDF3YBMH4g,3,9
-VEUjwiofZim3ETgbtuVWg,9,5
-VbgAouMu1xb2VVU-kPdcA,0,6
-VqWVmXzLJJqVtRXAx_CxQ,2,3
-VvMsFD0W2nQuO9buaeC1g,19,125
-VwJsTvH8dJJGjpfe_jJIA,3,3
-WAOPYXWLomXvcX5Jtbz0A,20,78
-WSEE7x8E6kLlg7DPIyjeQ,1,4
-WUHfRZ7a5NQA4TyGExggQ,3,5
-WdP27iHuFCUlgcRgFN2Gg,3,40
-WgD54ji0_MgHWgf9WBXrQ,18,64
-WvUB8bDBNXuvTU9i-ijCA,1,8
-XMVIb4yTanDDGt4HcRQpQ,1,8
-XattEF9LvIcbVxMYJIU7Q,9,0
-XcUlpWp-9JvJCKtzfufhw,6,12
-XrnSXHLYkHYofo4tjBSIw,11,3
-Xuj49w-yxbvTXHfoXbnsA,29,39
-Xw5Etsk7PJydWdpg6XFfA,2,9
-Y0d5ckFTrjvzxZCQoxhhQ,21,117
-Y33794_0UuxJERNMiHklQ,4,7
-YFsp6P5ddTDF0LrTGxSbw,5,0
-YWXj09yYXCFv7An8GeIiw,18,61
-YfJGvMzpmgXBL2lL627IA,5,0
-Z-daezhJA1ME9Plt8Axog,8,4
-Z03-mJBBLoroXF7H0DLSw,13,6
-ZJjxOYTWYbxD3yaz1CvCQ,2,6
-ZXjWCTxItm-3wPkgsf8zQ,43,210
-ZeEseRyVaUDYq2QimamBg,3,30
-Zo6r-nkY8svld8Vv2edtw,0,6
-ZzCVD9Ge7KCy4ffhYkGZQ,6,23
-Zznow_csEl3noB4yHIOvw,0,7
-_5bIz9bmlMfKkH4CVbUVA,9,11
-_VIDwzHvmfyxahHwWvqcQ,6,7
-_jxFZVaC3r1TppArnlxZQ,50,67
-_mCgBtlEGbzbTsjnuXm3Q,3,2
-aOGjoopHhk6OjgHGUbOEw,5,5
-aXBwEc28UdpcNtl6B6sGA,11,52
-aeZuatjCDMV1X4gCTz9Ug,1,5
-ajaASaDA_77I6pK3D4YgQ,79,25
-b3VxSmRw1Qot8dtDLdluQ,30,44
-bAOqLOVE20BjkZkpx9jrw,1,12
-bfRBexMAHt3p8wR4E2a3w,14,43
-bffBuOTmLC52VBSVtwq4g,5,5
-c1VslLxAIYmSbIKUNq5zw,8,10
-c86YkDE4WZUJIOJU08nOA,4,21
-cEFKAznWmI0cledNOIQ7w,193,989
-cN_52MpBGGPkjejrhGhUA,0,9
-d7jgvf-Aq3C-LFrBysFXA,0,5
-dB0vYhiTeBDlayTzT9kiw,1,5
-dOxca7rLtN5RR-psV10wA,8,79
-dQmz_R27erIuM5qR5jKIw,2,4
-dTetjRt4rUU1H16Sv8Lwg,5,0
-dc49jsYqR2zNblJkB9i8w,0,42
-dlU_Vr-5-szuLZteMWy6A,10,15
-duPMGeNQSCGEUl0s552Cw,0,11
-dzKS5d4Xh2UrN4ErpP0EA,3,37
-e6JPq8mFkMQQoWyANSgrQ,43,108
-e7vSLH84kk7mzHsesL0Qg,49,206
-eAmwxqpedMfAHREjJzQLQ,2,54
-eCe9GfRqhbMaB9CylkBSg,3,4
-eQIylvCo1gYDkHcIJs9EQ,9,61
-eTNByuRgYXk2S2TOjxLrw,6,2
-eUdQlZ430EiUCQjBb7hDQ,6,7
-eZSVjU4Iw32R1VmKq4sHA,12,4
-einR2JK0P2vbFTwWvgr_g,0,13
-ejuzGbu3ZHUndhLTQafJg,273,592
-f5A6KKUu4jZN1qptD20AA,2,25
-fJHTVafUBfsTOH_bopDBA,125,229
-fJPJP7iOd1ukDNqTSINIg,48,176
-fTcu-OMSpM_8vjUEbh1Dg,28,21
-fjIX9bvBKwXjQWfdgiWpQ,8,39
-flUkY8SjGhn8uQoTuUH_g,2,7
-gGywiFaJHb84GxW76DIZw,9,26
-gJ30BR8TmzjgKlZ9gtvHw,6,2
-gJ3m24voBGR-8fS_hQN9A,16,47
-gQqlbyF5HCKd60Qd16TOw,0,5
-gV5HzOUDyWirA15UeffCg,1,53
-h-JXA4fzHYJ0pGqpfrEDA,9,20
-h2ofCKKVch8fyinQxTsGQ,7,46
-h5xCtWvNIcIvRlYM2SWdA,4,12
-hKE37MKLbJRCxxrxhb01w,4,4
-hOzOtF9Qx8IuZWz1GyxQg,1,12
-hWqt93mXwiPUmS12suf6w,15,51
-hto0uJjh8KFQZGc9ZAcuQ,37,168
-i9a2nEKybUQCzAl34PIMA,0,6
-iSTJj5oyS6kzvaiw5T0Fg,9,53
-iclF-OurSdeL0qcHhXuww,7,4
-iejZ38ttViiaaHIAl5iYg,2,5
-iiX5fg7p6hnCWDqLkL6Iw,0,8
-imlMPrEJ8cc99qjEclKVA,54,21
-j87FUwytkiYUkM_6nCQ9Q,1,9
-jOBLBltG_33vpnXdoS0bA,6,0
-jSkTCNiFLnch6fiCHMLBg,9,7
-jjdFyiXbyldHOmpAXg-1Q,0,41
-jkc-0YYvwkBaNnNyiUHNg,24,94
